Title,Status,Rating,Genre,Image URL
The Perfect Run,Completed,5.0 (255),"['Adventure', 'Tragedy', 'Comedy', 'Mystery', 'Sci-fi']",https://static.lightnovelhub.org/bookcover/300x400/01261-the-perfect-run.jpg
My House of Horrors,Completed,5.0 (117),"['Action', 'Adventure', 'Drama', 'Mature', 'Mystery', 'Supernatural', 'Psychological', 'Horror', 'Seinen']",https://static.lightnovelhub.org/bookcover/300x400/00305-my-house-of-horrors.jpg
Trash of the Count's Family (Web Novel),Ongoing,4.9 (822),"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Seinen']",https://static.lightnovelhub.org/bookcover/300x400/00045-trash-count-novel.jpg
Lord of the Mysteries (Web Novel),Completed,4.9 (768),"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Supernatural']",https://static.lightnovelhub.org/bookcover/300x400/00275-lord-of-the-mysteries-wn.jpg
Reverend Insanity,Completed,4.9 (405),"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Mature', 'Psychological', 'Xianxia']",https://static.lightnovelhub.org/bookcover/300x400/00172-reverend-insanity.jpg
Mother of Learning,Completed,4.9 (265),"['Action', 'Adventure', 'Drama', 'Fantasy', 'Tragedy', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']",https://static.lightnovelhub.org/bookcover/300x400/01258-mother-of-learning.jpg
Under the Oak Tree (Web Novel KR),Ongoing,4.9 (214),"['Drama', 'Fantasy', 'Mature', 'Romance', 'Ecchi', 'Psychological', 'Josei', 'Adult', 'Smut']",https://static.lightnovelhub.org/bookcover/300x400/00540-under-the-oak-tree-novel.jpg
SSS-Class Suicide Hunter,Completed,4.9 (198),"['Action', 'Adventure', 'Fantasy', 'Mature', 'Comedy', 'Supernatural', 'Psychological']",https://static.lightnovelhub.org/bookcover/300x400/00559-sss-class-suicide-hunter.jpg
A Regressor’s Tale of Cultivation,Ongoing,4.9 (170),"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Romance', 'Tragedy', 'Mystery', 'Xianxia']",https://static.lightnovelhub.org/bookcover/300x400/01660-a-regressors-tale-of-cultivation.jpg
Lord of Mysteries 2: Circle of Inevitability,Ongoing,4.9 (123),"['Action', 'Adventure', 'Fantasy', 'Mature', 'Mystery', 'Supernatural', 'Psychological', 'Horror']",https://static.lightnovelhub.org/bookcover/300x400/01513-circle-of-inevitability.jpg?v=12041223
Kidnapped Dragons (KR Web Novel),Completed,4.9 (117),"['Action', 'Fantasy', 'Mature', 'Romance', 'Comedy', 'Seinen']",https://static.lightnovelhub.org/bookcover/300x400/01143-kidnapped-dragons.jpg
Return of the Mount Hua Sect,Ongoing,4.9 (92),"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Comedy', 'Wuxia']",https://static.lightnovelhub.org/bookcover/300x400/01343-return-of-the-mount-hua-sect.jpg
Remarried Empress,Ongoing,4.9 (58),"['Drama', 'Fantasy', 'Mature', 'Romance', 'Josei']",https://static.lightnovelhub.org/bookcover/300x400/00487-remarried-empress.jpg
My Husband is Suffering from a Terminal Illness,Completed,4.9 (51),"['Romance', 'Comedy', 'Yaoi']",https://static.lightnovelhub.org/bookcover/300x400/00824-my-husband-is-suffering-from-a-terminal-illness.jpg
Shadow Slave,Ongoing,4.8 (1219),"['Action', 'Adventure', 'Fantasy', 'Romance']",https://static.lightnovelhub.org/bookcover/300x400/01365-shadow-slave.jpg
The Beginning After The End (Web Novel),Ongoing,4.8 (825),"['Action', 'Fantasy', 'Comedy']",https://static.lightnovelhub.org/bookcover/300x400/00548-the-beginning-after-the-end.jpg
